business_id|insertedAtTimestamp|name|address|coordinates|number_of_reviews|rating|zip_code|cuisine
XsXLVWr1UZWVhKThNvNiaA|2024-10-17 21:27:38.992208|Blue Willow 夜来湘|40 W 56th St, New York, NY 10019|40.76292,-73.976546|1263|4.4|10019|Chinese
83zDAk03lFXkgImgkLhT9w|2024-10-17 21:27:38.992334|Chi Restaurant & Bar|492 9th Ave, New York, NY 10018|40.75547,-73.99439|305|4.6|10018|Chinese
bVkjBJlAIwKAj9Aw1KVWjA|2024-10-17 21:27:38.992356|Dim Sum Palace|334 W 46th St, New York, NY 10036|40.76015,-73.9893699|1820|4.1|10036|Chinese
WVsPyl-DGRu0O_rQYdIMVQ|2024-10-17 21:27:38.992376|The Best Sichuan|47 W 39th St, New York, NY 10018|40.75277108646358,-73.9845295|183|4.3|10018|Chinese
jc7lVTvmYMIK5RNpENtS6w|2024-10-17 21:27:38.992397|Szechuan Mountain House|23 St Marks Pl, New York, NY 10003|40.72911,-73.98858|788|4.3|10003|Chinese
wfhMIiMh2A2psCGONOVSlg|2024-10-17 21:27:38.992417|Han Dynasty|90 3rd Ave, New York, NY 10003|40.732072,-73.988074|1402|3.9|10003|Chinese
FXhSEZfIqjMZh4hR0_8jMQ|2024-10-17 21:27:38.992435|China Xiang 中国湘|360 W 42nd Street, New York, NY 10036|40.7582902125633,-73.9925113993899|580|3.8|10036|Chinese
_fTRTishY3G5dLPLYGCVAw|2024-10-17 21:27:38.992465|Tipsy Shanghai|594 3rd Ave, New York, NY 10016|40.74879,-73.9761|96|4.2|10016|Chinese
0CjK3esfpFcxIopebzjFxA|2024-10-17 21:27:38.992485|Joe's Shanghai|46 Bowery St, New York, NY 10013|40.7156608,-73.9967012|7445|3.8|10013|Chinese
xq0cX_DgxiJMXwhmEl9kUA|2024-10-17 21:27:38.992504|Café China|59 W 37th St, New York, NY 10018|40.75158498670787,-73.98582411501887|2018|3.9|10018|Chinese
qrncvjkiKN5Z-JC06ygy6A|2024-10-17 21:27:38.992524|Hutong New York|Inside Beacon Courtyard, New York, NY 10022|40.761551,-73.967443|624|3.6|10022|Chinese
1XgqwPF8JN-OVYDaKmO6SQ|2024-10-17 21:27:38.992541|Gulp|42-45 27th St, Queens, NY 11101|40.74898633252658,-73.94065112701773|30|4.2|11101|Chinese
iu1TLnNH13AdBDg_LmnuHQ|2024-10-17 21:27:38.992561|Lunar|12 E 37th St, New York, NY 10016|40.74981466503257,-73.98231633276964|44|4.4|10016|Chinese
NN3mOWF5e_pnR1ArqM2bHQ|2024-10-17 21:27:38.992578|Obao|647 9th Ave, New York, NY 10036|40.7606544,-73.991332|4296|4.0|10036|Chinese
GuzlMBKNoClNx5I1-x-DDg|2024-10-17 21:27:38.992597|53 NYC|53 W 53rd St, New York, NY 10019|40.76179318437133,-73.9780863|168|4.2|10019|Chinese
nI1UYDCYUTt23TpGxqnLKg|2024-10-17 21:27:38.992616|Buddakan|75 9th Ave, New York, NY 10011|40.7422762672197,-74.0048000961542|4738|4.1|10011|Chinese
h0pRCiJDrCN7tm3VX5tILQ|2024-10-17 21:27:38.992637|CHILI|13 E 37th St, New York, NY 10016|40.75002,-73.98215|852|4.6|10016|Chinese
sRWRA4dcN_NR1JGpuRVouA|2024-10-17 21:27:38.992655|Nan Xiang Soup Dumplings - Koreatown|24 W 33rd St, New York, NY 10001|40.74822527534694,-73.9857786|1265|4.6|10001|Chinese
lSuyHj3cCXbKjcZaakF9lQ|2024-10-17 21:27:38.992680|Dimsum Garden|1068 2nd Ave, New York, NY 10022|40.758701,-73.965463|48|4.3|10022|Chinese
BNaveJmi-OUGKG9sRfrIhA|2024-10-17 21:27:38.992699|Mr. Sun|48 W 48th St, New York, NY 10036|40.75809,-73.98026|325|4.2|10036|Chinese
QXgp1Ac10x6yDAPWFIxnbA|2024-10-17 21:27:38.992717|Charoen Krung|955 2nd Ave, New York, NY 10022|40.755354,-73.968495|252|4.8|10022|Chinese
